10.0,25.8278,5.0,25.5278,0.0,0.0,3.0,18.4698,2.0,20.7732,5.0,17.807,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.4141,19.058,0.0,0.0,20.5748,19.9375,0.0,3543059.0
16.0,27.7849,0.0,0.0,0.0,0.0,0.0,0.0,15.0,26.0961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99294977.0
24.0,27.1818,11.0,31.8967,0.0,0.0,5.0,32.9503,8.0,23.6295,11.0,21.9929,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,32.9504,23.6295,0.0,12.3119,33.4233,21.7641,0.0,171180201.0
8.0,26.4062,7.0,26.1179,0.0,0.0,1.0,8.21419,1.0,8.21419,7.0,17.6294,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.3247,0.0,0.0,0.0,0.0,19.865,0.0,12545092.0
6.0,26.1779,5.0,25.9442,0.0,0.0,1.0,11.4386,1.0,15.8406,5.0,16.7086,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.0703,16.6743,0.0,0.0,0.0,18.2097,0.0,5473503.0
3.0,25.1321,2.0,24.8994,0.0,0.0,2.0,17.0526,1.0,18.6597,2.0,16.9781,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.1305,0.0,0.0,0.0,0.0,17.1556,0.0,1013598.0
4.0,23.5294,3.0,23.5308,0.0,0.0,1.0,14.7202,1.0,14.7202,3.0,13.1434,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,23.529,0.0,0.0,0.0,0.0,16.6329,0.0,1510067.0
13.0,26.9099,10.0,27.9017,0.0,0.0,1.0,16.8086,3.0,22.4511,10.0,23.695,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.0069,18.7379,0.0,0.0,23.6619,19.921,0.0,50327451.5
8.0,26.6909,7.0,26.6178,0.0,0.0,1.0,23.8769,1.0,24.5509,7.0,18.7237,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.7315,0.0,0.0,0.0,0.0,19.7911,0.0,8132980.0
18.0,27.8633,11.0,27.6729,0.0,0.0,2.0,9.40055,3.0,15.3162,11.0,14.8498,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,27.3758,0.0,0.0,0.0,0.0,22.343,0.0,32980343.0
24.0,27.1489,17.0,27.2877,0.0,0.0,1.0,13.1622,6.0,20.9862,17.0,20.5698,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,21.3601,20.9908,0.0,12.8384,0.0,20.5687,0.0,29505783.0
5.0,24.9672,4.0,24.2484,0.0,0.0,1.0,15.4238,2.0,18.906,4.0,18.0742,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.8613,17.1241,0.0,0.0,0.0,18.906,0.0,16943056.0
5.0,25.5505,4.0,26.4555,0.0,0.0,1.0,15.6659,1.0,16.2452,4.0,22.8285,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,26.3281,0.0,0.0,0.0,0.0,18.7403,0.0,6720286.0
3.0,25.8242,2.0,25.7946,0.0,0.0,1.0,4.30407,1.0,15.3863,2.0,12.9648,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.7931,0.0,0.0,0.0,0.0,17.9971,0.0,2038765.0
